Nombre,Símbolo,Precio,Market Cap,Volumen (24h)
CoinMarketCap 20 Index DTF,CMC20,184.53,6.656651979,912143749.43
Bitcoin,BTC,87835.46,1.751753248212437,36172792411412.25
Ethereum,ETH,2952.03,355.48355475808125,245385890318.33
Tether,USDT,0.9986,186.29186288393032,8193915216582.04
BNB,BNB,889.14,121.25121248367175,20321913922.28
XRP,XRP,1.88,114.7711476925191,20991180551.11
USDC,USDC,0.9997,71.6371633646108,2148132952621.48
Solana,SOL,124.8,70.6570646529334,335962364826.91
TRON,TRX,0.2938,27.8327834720569,4585408621.56
Dogecoin,DOGE,0.1225,20.6520653331408,9769656347.97
Cardano,ADA,0.3517,12.6812677725583,4275205481.21
Bitcoin Cash,BCH,590.26,11.811797402334,343979281582.75
UNUS SED LEO,LEO,9.25,8.53852742717,1074562116.14
Monero,XMR,460.91,8.58502421108,118781345257.7
Hyperliquid,HYPE,28.11,8.498491976056,57469230620.44
pippin,PIPPIN,0.4079,407.92407921378,65794234161.29
DoubleZero,2Z,0.1164,404.38404376358,18518475158.97
BitTorrent [New],BTT,0.064015,395.94395936311,1031143125.68
AB,AB,0.004027,395.5395504744,93365652.31
FLOKI,FLOKI,4.142e-05,395.2139521098,30576022738.03
EURC,EURC,1.19,393.56393555537,5133364242.89
Stable,STABLE,0.02215,389.95389952265,250611791.13
Maple Finance,SYRUP,0.3346,386.8386795485,1596795347.71
Celestia,TIA,0.4426,386.07386067007,2807626463.43
The Graph,GRT,0.03591,384.12384117459,17227529479.66
Humanity Protocol,H,0.1589,383.26383257936,28056223176.47
Gnosis,GNO,140.0,369.52369520977,470157533.58
JUST,JST,0.04137,364.77364765627,32727253790.9
Trust Wallet Token,TWT,0.8467,363.99363988192,906729710.7
IOTA,IOTA,0.08485,361.5336153365,15555498183.31
Rain,RAIN,0.01,3.43401160985,478979734.78
Falcon USD,USDf,0.9953,2.052054242072,23836212.39
Jupiter Perps LP,JLP,4.55,1.541543756521,302547466.63
Ondo US Dollar Yield,USDY,1.11,704.45704452581,11897931.06
Beldex,BDX,0.07963,605.68605677754,10666472133.93
Usual USD,USD0,0.9972,594.85594847321,939598942.16
c8ntinuum,CTM,0.1212,528.79528791125,11442419.43
USDai,USDAI,0.9999,501.31501312389,21851152.18
GHO,GHO,0.9995,494.88494878367,11940331.19
Fasttoken,FTN,1.08,474.73474728509,1229597111.29
Legacy Frax Dollar,FRAX,0.9925,274.09274094607,265420267.41
Ape and Pepe,APEPE,0.051109,233.07233073517,2012971218.13
Undeads Games,UDS,2.3,228.82228823116,1089236472.46
WeFi,WFI,2.85,223.57223566471,2286896801.48
SwissBorg,BORG,0.226,222.06222060422,6674752.95
ORDI,ORDI,3.86,81.2581249666,122137353.15
XPR Network,XPR,0.00286,81.2481243468,1861739650.83
Drift,DRIFT,0.1467,81.1781166013,855040758.24
Qubic,QUBIC,0.066031,80.3880376518,14507952.4
VVS Finance,VVS,0.051815,79.2279217777,338778186.63
RaveDAO,RAVE,0.3369,79.179104509,699363920.75
EUR CoinVertible,EURCV,1.19,78.7478738901,4028477633.64
cat in a dogs world,MEW,0.0008829,78.4978485668,1394278515.79
Blur,BLUR,0.02875,77.8777873596,7907930275.03
Waves,WAVES,0.6462,77.5377531593,691063010.69
Comedian,BAN,0.07734,77.3577345534,378587748.94
Paycoin,PCI,0.07259,77.1177106563,89229712.29
Avantis,AVNT,0.2974,76.8176813377,38748198130.25
XYO,XYO,0.005611,76.6376628296,77078581.37
GMX,GMX,7.36,76.4276417909,5422858736.65
VNDC,VNDC,3.782e-05,53.4353429177,10910779288.43
Storj,STORJ,0.1253,53.0253015889,611601448.79
Tellor,TRB,19.29,52.995298724,11596759600.88
Sologenic,SOLO,0.1328,52.9952993229,182763713.75
Enjin Coin,ENJ,0.0273,52.652599538,6088789222.98
Law Blocks (AI),LBT,0.214,52.4452439274,5360032.5
Spark,SPK,0.02241,52.3452336853,11731360523.29
AI Rig Complex,ARC,0.05206,52.0652064692,9671819185.76
ChangeNOW Token,NOW,0.6111,51.8351826478,35235.76
EthereumPoW,ETHW,0.4761,51.345134277,36332747.62
Harmony,ONE,0.003451,51.251197794,37450641.08
UPCX,UPC,0.5072,50.9650960603,188747372.11
BORA,BORA,0.04629,50.9150908406,114399224.71
iExec RLC,RLC,0.5848,50.8950885327,28097584.8
PlaysOut,PLAY,0.07321,50.8550853021,317165143.31
Kyber Network Crystal v2,KNC,0.2071,39.5339525576,464828922.44
Blast,BLAST,0.0007244,39.539500073,35892854.95
Derive,DRV,0.05345,39.4239424211,48971916.12
Flux,FLUX,0.09833,39.4139410777,271978327.65
OLAXBT,AIO,0.1706,39.2939292076,1401804482.14
Liquity BOLD,BOLD,1.0,38.913890856,270385270.21
iShares Silver Trust Tokenized ETF (Ondo),SLVon,96.8,38.838797026,25579173264.23
Audius,AUDIO,0.02785,38.7638755203,266747795.75
MiL.k,MLK,0.07327,38.6538652149,76247810.4
Santos FC Fan Token,SANTOS,2.39,38.4738471168,66635052.78
Particle Network,PARTI,0.08669,38.438396255,825111195.17
EscoinToken,ELG,0.2439,38.3338328742,2944911.2
MWX Token,MWXT,0.255,38.243823692,475874718.65
Burnedfi,BURN,3.09,38.2538245612,16908654.71
Osmosis,OSMO,0.05002,38.0438039945,230785146.13
Boundless,ZKC,0.1251,28.6728673434,56441611451.02
Orderly,ORDER,0.07859,28.5928593484,483633861.53
Folks Finance,FOLKS,2.34,28.5928590619,99143244.23
Mira,MIRA,0.122,28.5628560903,1128610992.49
USDB,USDB,1.0,28.3628358705,37387223.7
Wayfinder,PROMPT,0.07001,28.4428443784,36636304523.29
Everlyn AI,LYN,0.1109,28.3728368174,468745242.24
Treasure,MAGIC,0.08876,28.1928194324,656225773.92
Hyperlane,HYPER,0.1238,28.1328128589,639959551.66
Xai,XAI,0.01432,28.128103155,5189128362.31
Renzo,REZ,0.004476,27.8427844252,55855131.24
SPDR S&P 500 Tokenized ETF (Ondo),SPYon,698.27,27.7927787106,34127724.88
Anoma,XAN,0.01102,27.552755426,7594317689.03
Adshares,ADS,0.7106,27.5227522773,7637781.07
Electronic USD,eUSD,0.9987,27.4627461454,157217157.4
BOB (Build on Bitcoin),BOB,0.0095,21.0921090194,7546632794.37
Ponke,PONKE,0.03795,21.09210865,272271471.73
AriaAI,ARIA,0.07496,21.0721068047,216422328.87
Kyuzo's Friends,KO,0.09672,21.0421037239,9897723102.33
Lava Network,LAVA,0.0794,2121001942.0,175603922.11
BENQI,QI,0.002911,20.9720965265,625140214.68
Fusionist,ACE,0.2405,20.9420939608,721915330.0
Collector Crypt,CARDS,0.05504,20.9320931726,142350425.86
Maverick Protocol,MAV,0.02482,20.9220924126,238732096.17
Nillion,NIL,0.06889,20.9220919673,448466565.08
SuperRare,RARE,0.02534,20.920902348,3084964121.73
Orchid,OXT,0.02093,20.8720872764,108962752.05
Eclipse,ES,0.1572,20.8620862501,494579031.44
Polyhedra Network,ZKJ,0.03592,20.8320834584,266841974.26
Dolomite,DOLO,0.04656,20.5620562492,7882433169.29
SUPRA,SUPRA,0.0007115,16.3416338402,493284693.2
Hermez Network,HEZ,3.47,16.3316332541,221466.37
Initia,INIT,0.09061,16.316301066,742543881.94
MyNeighborAlice,ALICE,0.1621,16.2616256052,469739728.96
Radworks,RAD,0.2751,16.2516254393,435057315.81
iShares Core MSCI EAFE Tokenized ETF (Ondo),IEFAon,95.83,16.1216124567,509663853.18
Saga,SAGA,0.04676,16.0816078497,4860908103.94
ROGin AI,ROG,0.2377,15.9315928467,607425.54
Highstreet,HIGH,0.2009,15.751575106,278914013.87
