name,height,weight,base_experience,height_m,weight_kg,bmi
bulbasaur,7,69,64.0,0.7,6.9,14.081632653061227
ivysaur,10,130,142.0,1.0,13.0,13.0
venusaur,20,1000,236.0,2.0,100.0,25.0
charmander,6,85,62.0,0.6,8.5,23.61111111111111
charmeleon,11,190,142.0,1.1,19.0,15.702479338842974
charizard,17,905,240.0,1.7,90.5,31.314878892733567
squirtle,5,90,63.0,0.5,9.0,36.0
wartortle,10,225,142.0,1.0,22.5,22.5
blastoise,16,855,239.0,1.6,85.5,33.39843749999999
caterpie,3,29,39.0,0.3,2.9,32.22222222222222
metapod,7,99,72.0,0.7,9.9,20.204081632653065
butterfree,11,320,178.0,1.1,32.0,26.446280991735534
weedle,3,32,39.0,0.3,3.2,35.55555555555556
kakuna,6,100,72.0,0.6,10.0,27.77777777777778
beedrill,10,295,178.0,1.0,29.5,29.5
pidgey,3,18,50.0,0.3,1.8,20.0
pidgeotto,11,300,122.0,1.1,30.0,24.793388429752063
pidgeot,15,395,216.0,1.5,39.5,17.555555555555557
rattata,3,35,51.0,0.3,3.5,38.88888888888889
raticate,7,185,145.0,0.7,18.5,37.75510204081633
spearow,3,20,52.0,0.3,2.0,22.22222222222222
fearow,12,380,155.0,1.2,38.0,26.38888888888889
ekans,20,69,58.0,2.0,6.9,1.725
arbok,35,650,157.0,3.5,65.0,5.3061224489795915
pikachu,4,60,112.0,0.4,6.0,37.49999999999999
raichu,8,300,218.0,0.8,30.0,46.87499999999999
sandshrew,6,120,60.0,0.6,12.0,33.333333333333336
sandslash,10,295,158.0,1.0,29.5,29.5
nidoran-f,4,70,55.0,0.4,7.0,43.74999999999999
nidorina,8,200,128.0,0.8,20.0,31.249999999999993
nidoqueen,13,600,227.0,1.3,60.0,35.50295857988165
nidoran-m,5,90,55.0,0.5,9.0,36.0
nidorino,9,195,128.0,0.9,19.5,24.074074074074073
nidoking,14,620,227.0,1.4,62.0,31.632653061224495
clefairy,6,75,113.0,0.6,7.5,20.833333333333336
